,HoundBaskervilles,LostWorld,MysteryCloomber,PoisonBelt,RafflesHaw,Refugees,SignFour,StudyScarlet,ValleyFear,WhiteCompany
29_hand-foot-head,0.0352525622828442,0.0745980428101918,0.0448849619516616,0.0598864070167682,0.0534290372137507,0.104385394009697,0.0771363514262208,0.0699901083501645,0.0615245755801352,0.109468801470839
30_tree-wood-forest,0.000818786935226855,0.0422696953864281,0.00500419665237423,0.000774045163325149,0.00413541660021918,0.0182969879530131,0.000853496993810616,0.00417873467107929,0.00081186469251291,0.00560988466795157
31_audience-platform-hall,8.93773199921038E-05,8.098519514678E-05,8.41753994695973E-05,7.98326818721841E-05,9.04539074181651E-05,8.11339898265106E-05,8.83163827822098E-05,8.43332835862011E-05,8.99091560755509E-05,7.95496608830048E-05
32_door-room-house,0.0329243426416543,0.00440263394193401,0.0309130829530582,0.0285930483047583,0.0646502684280898,0.0169327719997372,0.0730936835987978,0.0468746537910439,0.0253076723435489,0.0153355860210895
33_plateau-cliff-rifle,0.000257806326907152,0.118899538875086,0.000241915124444373,0.000222617579796196,0.000255190264072962,0.000231651272231614,0.000258335543905724,0.000242381110481587,0.000251608347601816,0.000222617579796196
34_treasure-dog-fort,0.000156870925772563,0.000145825605439509,0.000151724958808365,0.000139621874416383,0.000158760502079127,0.000142402615079875,0.0626552995855841,0.000148017867069366,0.000160058825613492,0.000139621874416383
35_lady-land-hound,0.000295682804047164,0.000254208618706609,0.000270765588031504,0.000251495356050591,0.00028727129221618,0.000260773115930753,0.000281545778875293,0.000265673514719002,0.000283239078146358,0.000271802712563034
36_horse-road-carriage,0.000306538959255668,0.000263763463033141,0.000285994347115005,0.000262834958292745,0.000304661468113937,0.000345257444351706,0.000299768749503865,0.000299768749503865,0.000299169387885799,0.000278004745071599
37_brother-novice-order,9.48146326683522E-05,8.598118316371E-05,9.19106021413402E-05,8.44678208648859E-05,9.42999808830428E-05,8.72314850120202E-05,9.40712023704443E-05,9.01821124624915E-05,9.65314816881196E-05,8.55217825590514E-05
38_rock-valley-pass,0.000253265031815825,0.000228413327648267,0.000239506317829564,0.000219474214428087,0.000248673848942431,0.000224670592357418,0.000241845541387916,0.000247671428339277,0.000247176230796891,0.00023449446276586
39_creature-beast-animal,0.00038882388522496,0.0501377531721136,0.000465973097121224,0.000368743708068023,0.000368768673511064,0.000326441244701062,0.000400010835930197,0.000359860934604839,0.000375713849471252,0.000327643257622637
40_art-church-bell,0.000149525168532954,0.000132309438334582,0.000140387142222427,0.000132309438334582,0.000150125374890572,0.000133752429078705,0.000144807507781058,0.000142012787652637,0.000147419090409365,0.000131130934602773
41_box-prisoner-justice,0.000121739976793329,0.000107971041612328,0.00011662278652244,0.00010991245449922,0.000120114682418224,0.000111111179673346,0.000131133500159199,0.000117973247091459,0.000125223520916771,0.000108353818067825
42_glass-effect-crystal,0.000151836038723158,0.000138684052888283,0.00014662175696928,0.000136710417933909,0.000176723045870259,0.000140203951474,0.000153045534128377,0.000152438387331717,0.000153657536674506,0.000136225755301922
43_ship-boat-deck,0.000239428178739587,0.000217121740720864,0.000261204420140319,0.000214812535703944,0.000244257901305234,0.000227310081900169,0.000243273281676781,0.000243273281676781,0.000242786877847231,0.000223943335054927
44_moor-hound-death,0.135488460191837,0.000199340456395647,0.000262371837132698,0.00020004715360072,0.000221760531856656,0.000204031337719137,0.000222093228252431,0.000213682943066711,0.000229328768192615,0.00020004715360072
45_book-page-picture,0.000182602679078079,0.000158628075778369,0.000167694589082298,0.000158628075778369,0.000173352155873,0.000160358102358388,0.000181468845378045,0.000170921330276553,0.000199674702330459,0.000156378617342773
46_king-madame-sire,0.000259967797392224,0.000230565132419503,0.000247168402896417,0.000234710893288925,0.00025649708703118,0.013370815710906,0.000256881896968582,0.000262038648680858,0.00026256679617481,0.000231794131849889
47_money-wealth-work,0.00026206692545357,0.000225307898249008,0.000239063307602692,0.000222903103676994,0.148500217183945,0.000228180665650937,0.00024953712435881,0.00024183159654556,0.00025883228606411,0.000222112872716261
48_light-heart-sound,0.0781721341617772,0.0685428207128082,0.071807655470261,0.0650906711240479,0.0242960825001027,0.0425402341283765,0.0208018366221006,0.0463944291564242,0.0324623614196708,0.0250193761897478
49_letter-paper-envelope,0.000305355938588041,0.00026291561379226,0.000282829649376718,0.000264827217388411,0.00028867336685264,0.000263398670534662,0.000325102959134325,0.000288990920990071,0.000343567399173925,0.000259174019610201
