	acd006	acd012	acd011	acd001	acd010	acd007	acd005	acd004	acd002	acd009	acd008	acd003	totals
At	66.0	16.0	29.0	32.0	36.0	24.0	56.0	69.0	29.0	14.0	7.0	35.0	413.0
friend	56.0	18.0	27.0	16.0	32.0	6.0	74.0	75.0	63.0	6.0	12.0	26.0	411.0
By	31.0	6.0	17.0	8.0	28.0	9.0	47.0	221.0	20.0	1.0	8.0	13.0	409.0
king	0.0	0.0	1.0	0.0	9.0	0.0	353.0	44.0	0.0	0.0	1.0	0.0	408.0
each	53.0	20.0	20.0	15.0	63.0	24.0	64.0	88.0	12.0	5.0	19.0	23.0	406.0
woman	75.0	7.0	23.0	17.0	9.0	5.0	103.0	74.0	39.0	33.0	8.0	13.0	406.0
set	54.0	7.0	26.0	16.0	24.0	36.0	59.0	113.0	28.0	12.0	11.0	19.0	405.0
seemed	69.0	31.0	33.0	16.0	51.0	21.0	39.0	58.0	36.0	6.0	24.0	20.0	404.0
across	54.0	20.0	22.0	21.0	49.0	12.0	69.0	85.0	28.0	6.0	12.0	24.0	402.0
Now	53.0	9.0	34.0	26.0	44.0	11.0	61.0	65.0	30.0	5.0	31.0	31.0	400.0
took	75.0	11.0	44.0	25.0	44.0	20.0	54.0	33.0	34.0	5.0	16.0	37.0	398.0
together	60.0	15.0	30.0	24.0	25.0	20.0	59.0	92.0	30.0	5.0	16.0	20.0	396.0
word	60.0	14.0	42.0	20.0	31.0	14.0	66.0	76.0	23.0	7.0	15.0	21.0	389.0
dark	65.0	4.0	22.0	17.0	35.0	33.0	75.0	51.0	42.0	4.0	14.0	23.0	385.0
So	44.0	19.0	35.0	21.0	45.0	11.0	46.0	94.0	32.0	11.0	14.0	13.0	385.0
Yes	74.0	16.0	33.0	21.0	15.0	9.0	80.0	19.0	57.0	15.0	18.0	27.0	384.0
front	62.0	9.0	15.0	14.0	44.0	9.0	72.0	94.0	27.0	7.0	17.0	12.0	382.0
name	53.0	8.0	41.0	30.0	26.0	22.0	44.0	66.0	45.0	5.0	16.0	25.0	381.0
better	67.0	9.0	31.0	21.0	29.0	22.0	57.0	82.0	24.0	11.0	14.0	12.0	379.0
Challenger	0.0	150.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.0
voice	70.0	19.0	27.0	23.0	32.0	20.0	44.0	77.0	21.0	7.0	9.0	27.0	376.0
moment	73.0	22.0	36.0	18.0	48.0	23.0	40.0	29.0	26.0	16.0	15.0	27.0	373.0
passed	61.0	21.0	20.0	20.0	29.0	19.0	70.0	67.0	31.0	2.0	17.0	12.0	369.0
words	53.0	17.0	32.0	12.0	20.0	18.0	60.0	80.0	31.0	14.0	20.0	12.0	369.0
feet	33.0	13.0	18.0	23.0	68.0	17.0	69.0	78.0	17.0	3.0	12.0	17.0	368.0
open	53.0	21.0	36.0	11.0	40.0	10.0	64.0	67.0	10.0	6.0	24.0	25.0	367.0
How	65.0	13.0	31.0	17.0	35.0	14.0	41.0	59.0	32.0	7.0	28.0	20.0	362.0
cannot	24.0	11.0	11.0	8.0	27.0	24.0	70.0	81.0	33.0	20.0	29.0	23.0	361.0
indeed	32.0	10.0	18.0	11.0	24.0	11.0	78.0	114.0	26.0	3.0	19.0	13.0	359.0
